airline,source,destination,duration,total_stops,additional_info,price,dep_time_hour,dep_time_min,dtoj_day,dtoj_month,dtoj_year
Indigo,banglore,new delhi,170,0,no info,3897,22,20,24,3,2019
Air India,kolkata,banglore,445,2,no info,7662,5,50,1,5,2019
Jet Airways,delhi,cochin,1140,2,no info,13882,9,25,9,6,2019
Indigo,kolkata,banglore,325,1,no info,6218,18,5,12,5,2019
Indigo,banglore,new delhi,285,1,no info,13302,16,50,1,3,2019
Spicejet,kolkata,banglore,145,0,no info,3873,9,0,24,6,2019
Jet Airways,banglore,new delhi,930,1,in-flight meal not included,11087,18,55,12,3,2019
Jet Airways,banglore,new delhi,1265,1,no info,22270,8,0,1,3,2019
Jet Airways,banglore,new delhi,1530,1,in-flight meal not included,11087,8,55,12,3,2019
Multiple Carriers,delhi,cochin,470,1,no info,8625,11,25,27,5,2019
Air India,delhi,cochin,795,1,no info,8907,9,45,1,6,2019
Indigo,kolkata,banglore,155,0,no info,4174,20,20,18,4,2019
Air India,chennai,kolkata,135,0,no info,4667,11,40,24,6,2019
Jet Airways,kolkata,banglore,730,1,in-flight meal not included,9663,21,10,9,5,2019
Indigo,kolkata,banglore,155,0,no info,4804,17,15,24,4,2019
Air India,delhi,cochin,1595,2,no info,14011,16,40,3,3,2019
Spicejet,delhi,cochin,270,1,no info,5830,8,45,15,4,2019
Jet Airways,delhi,cochin,1355,1,in-flight meal not included,10262,14,0,12,6,2019
Air India,delhi,cochin,1380,2,no info,13381,20,15,12,6,2019
Jet Airways,delhi,cochin,1235,1,in-flight meal not included,12898,16,0,27,5,2019
Goair,delhi,cochin,310,1,no info,19495,14,10,6,3,2019
Air India,banglore,new delhi,920,1,no info,6955,22,0,21,3,2019
Indigo,banglore,delhi,170,0,no info,3943,4,0,3,4,2019
Indigo,banglore,delhi,175,0,no info,4823,18,55,1,5,2019
Jet Airways,kolkata,banglore,800,1,in-flight meal not included,7757,18,55,6,5,2019
Jet Airways,delhi,cochin,910,2,no info,13292,21,25,9,6,2019
Indigo,delhi,cochin,345,1,no info,8238,21,50,1,6,2019
Goair,delhi,cochin,355,1,no info,7682,7,0,15,5,2019
Vistara,banglore,delhi,170,0,no info,4668,9,45,18,6,2019
Vistara,chennai,kolkata,135,0,no info,3687,7,5,15,6,2019
Vistara,chennai,kolkata,135,0,no info,3687,7,5,18,6,2019
Air India,kolkata,banglore,805,2,no info,13227,9,50,1,5,2019
Indigo,banglore,delhi,170,0,no info,4423,4,0,6,4,2019
Jet Airways,delhi,cochin,1320,2,in-flight meal not included,10919,14,35,15,6,2019
Jet Airways,delhi,cochin,330,1,in-flight meal not included,12373,7,5,18,5,2019
Indigo,delhi,cochin,625,1,no info,5894,10,35,27,6,2019
Spicejet,kolkata,banglore,315,1,no info,4649,15,5,21,5,2019
Air India,kolkata,banglore,150,0,no info,6245,14,15,18,5,2019
Jet Airways,banglore,new delhi,375,1,no info,19225,7,0,6,3,2019
Jet Airways,delhi,cochin,715,1,no info,14924,7,5,3,6,2019
Multiple Carriers,delhi,cochin,665,1,no info,9646,7,5,21,5,2019
Air India,banglore,new delhi,510,1,no info,8714,6,45,15,3,2019
Jet Airways,delhi,cochin,1325,1,in-flight meal not included,12373,20,55,18,5,2019
Air Asia,banglore,delhi,165,0,no info,3383,11,10,6,5,2019
Multiple Carriers,delhi,cochin,720,1,no info,13062,9,0,21,3,2019
Spicejet,banglore,new delhi,170,0,no check-in baggage included,3527,5,45,24,3,2019
Indigo,banglore,delhi,170,0,no info,3943,4,0,27,5,2019
Air India,chennai,kolkata,135,0,no info,4667,11,40,3,5,2019
Air India,kolkata,banglore,965,1,no info,6117,19,0,15,5,2019
Jet Airways,delhi,cochin,1195,2,in-flight meal not included,11150,23,5,27,6,2019
Jet Airways,delhi,cochin,195,0,in-flight meal not included,7202,11,0,9,3,2019
Jet Airways,kolkata,banglore,1520,1,no info,12121,9,35,1,5,2019
Indigo,banglore,new delhi,170,0,no info,4377,22,20,24,3,2019
Indigo,banglore,delhi,180,0,no info,3943,21,15,18,6,2019
Air Asia,banglore,delhi,170,0,no info,4483,23,55,3,4,2019
Jet Airways,kolkata,banglore,975,1,no info,14231,19,45,24,3,2019
Air India,banglore,new delhi,905,2,no info,17345,8,50,1,3,2019
Vistara,chennai,kolkata,135,0,no info,7414,7,5,6,3,2019
Multiple Carriers,delhi,cochin,390,1,no info,8073,19,0,6,5,2019
Vistara,mumbai,hyderabad,1505,1,no info,12395,15,40,6,3,2019
Air India,kolkata,banglore,745,1,no info,8366,9,25,6,6,2019
Air India,delhi,cochin,1640,1,no info,5117,6,5,3,4,2019
Multiple Carriers,delhi,cochin,615,1,no info,12524,8,45,3,6,2019
Indigo,delhi,cochin,630,1,no info,7191,15,0,15,5,2019
Vistara,chennai,kolkata,135,0,no info,3687,7,5,24,5,2019
Indigo,delhi,cochin,625,1,no info,5894,10,35,24,6,2019
Vistara,banglore,delhi,170,0,no info,5403,9,45,24,4,2019
Air India,mumbai,hyderabad,90,0,no info,3625,13,55,6,5,2019
Air India,delhi,cochin,800,2,no info,10861,5,55,21,5,2019
Indigo,chennai,kolkata,135,0,no info,6297,13,20,12,3,2019
Jet Airways,mumbai,hyderabad,85,0,no info,5678,7,5,1,6,2019
Jet Airways,banglore,new delhi,1590,1,in-flight meal not included,9134,5,45,9,3,2019
Multiple Carriers,delhi,cochin,440,1,in-flight meal not included,10791,11,40,24,6,2019
Jet Airways,delhi,cochin,810,2,no info,12819,23,5,24,6,2019
Indigo,delhi,cochin,300,1,no info,6893,5,5,21,3,2019
Vistara,banglore,new delhi,165,0,no info,7240,9,50,9,3,2019
Goair,banglore,delhi,170,0,no info,3898,11,40,3,4,2019
Indigo,mumbai,hyderabad,90,0,no info,4049,6,25,3,4,2019
Jet Airways,delhi,cochin,1145,1,in-flight meal not included,10262,17,30,15,6,2019
Spicejet,chennai,kolkata,135,0,no check-in baggage included,3332,8,20,21,3,2019
Jet Airways,kolkata,banglore,890,1,in-flight meal not included,10844,21,10,9,6,2019
Jet Airways,banglore,new delhi,160,0,no info,7229,19,55,24,3,2019
Jet Airways,kolkata,banglore,1330,1,no info,13941,6,30,6,5,2019
Indigo,delhi,cochin,575,1,no info,5894,11,25,27,6,2019
Multiple Carriers,delhi,cochin,600,1,no info,10197,9,0,18,5,2019
Jet Airways,banglore,new delhi,1280,1,in-flight meal not included,13712,14,5,6,3,2019
Indigo,delhi,cochin,325,1,no info,5636,2,0,24,6,2019
Jet Airways,delhi,cochin,1125,2,no info,13014,9,40,6,6,2019
Jet Airways,kolkata,banglore,740,1,in-flight meal not included,7064,8,25,1,4,2019
Jet Airways,kolkata,banglore,1080,1,in-flight meal not included,10703,20,25,24,5,2019
Multiple Carriers,delhi,cochin,555,1,no info,9646,13,15,27,5,2019
Multiple Carriers,delhi,cochin,665,1,no info,17057,2,15,6,3,2019
Jet Airways,banglore,new delhi,1050,1,no info,13817,16,55,12,3,2019
Air India,delhi,cochin,800,2,no info,13748,5,55,6,3,2019
Air India,kolkata,banglore,155,0,no info,4880,20,45,21,4,2019
Indigo,chennai,kolkata,145,0,no info,3540,5,15,21,6,2019
Spicejet,banglore,delhi,160,0,no check-in baggage included,3257,5,55,15,5,2019
Jet Airways,banglore,delhi,180,0,in-flight meal not included,6478,19,50,3,6,2019
Jet Airways,mumbai,hyderabad,85,0,no info,8040,7,5,18,6,2019
Jet Airways,delhi,cochin,995,2,no info,14300,20,0,12,6,2019
Jet Airways,kolkata,banglore,740,1,no info,14781,8,25,15,5,2019
Jet Airways,kolkata,banglore,735,1,no info,14939,20,0,9,6,2019
Jet Airways,delhi,cochin,450,1,in-flight meal not included,10262,20,55,24,6,2019
Air India,kolkata,banglore,1440,1,no info,6528,14,35,12,5,2019
Air India,banglore,delhi,165,0,no info,6121,6,10,1,5,2019
Jet Airways,delhi,cochin,535,2,in-flight meal not included,13029,19,30,18,5,2019
Multiple Carriers,delhi,cochin,430,1,no info,11421,11,40,27,3,2019
Multiple Carriers,delhi,cochin,870,1,no info,7574,4,45,27,3,2019
Air India,delhi,cochin,1820,2,no info,11596,12,55,9,5,2019
Jet Airways,delhi,cochin,1195,2,no info,15129,23,5,24,5,2019
Jet Airways,banglore,new delhi,900,1,no info,13555,14,5,18,3,2019
Indigo,banglore,delhi,175,0,no info,5780,18,55,12,4,2019
Vistara,kolkata,banglore,765,1,no info,9397,20,20,12,5,2019
Jet Airways,delhi,cochin,610,1,no info,17024,18,15,6,3,2019
Goair,delhi,cochin,355,1,no info,5281,7,0,27,6,2019
Multiple Carriers,delhi,cochin,925,1,no info,10348,7,5,18,5,2019
Air India,delhi,cochin,965,1,no info,12677,17,20,6,3,2019
Multiple Carriers,delhi,cochin,610,1,no info,15147,15,25,3,3,2019
Vistara,banglore,delhi,160,0,no info,4668,7,0,12,6,2019
Jet Airways,delhi,cochin,715,1,no info,15554,7,5,9,5,2019
Spicejet,banglore,delhi,160,0,no info,3971,5,55,9,4,2019
Air India,mumbai,hyderabad,85,0,no info,3100,15,0,3,5,2019
Jet Airways,kolkata,banglore,845,1,in-flight meal not included,9663,20,0,6,5,2019
Air India,delhi,cochin,1215,1,no info,27430,23,0,1,3,2019
Indigo,chennai,kolkata,145,0,no info,3540,5,15,12,5,2019
Air India,kolkata,banglore,1390,2,no info,10676,12,0,21,5,2019
Jet Airways,kolkata,banglore,1090,1,no info,13044,14,5,12,6,2019
Jet Airways,kolkata,banglore,960,1,no info,14388,20,0,6,5,2019
Indigo,banglore,delhi,170,0,no info,3943,4,0,24,6,2019
Indigo,chennai,kolkata,140,0,no info,3597,14,45,3,6,2019
Air India,banglore,new delhi,480,1,no info,5932,11,50,21,3,2019
Jet Airways,delhi,cochin,1015,1,in-flight meal not included,10262,11,30,15,6,2019
Vistara,delhi,cochin,190,0,no info,6216,14,40,12,5,2019
Indigo,kolkata,banglore,165,0,no info,4804,20,25,15,6,2019
Multiple Carriers,delhi,cochin,840,1,no info,14067,11,30,21,5,2019
Jet Airways,delhi,cochin,1430,2,no info,15129,19,10,18,5,2019
Jet Airways,delhi,cochin,1300,2,no info,13376,6,45,6,6,2019
Air India,delhi,cochin,1275,2,no info,10441,22,0,27,6,2019
Jet Airways,banglore,delhi,165,0,in-flight meal not included,4030,6,0,24,5,2019
Jet Airways,delhi,cochin,650,1,no info,17024,8,0,3,3,2019
Multiple Carriers,delhi,cochin,480,1,no info,13017,17,30,9,4,2019
Goair,kolkata,banglore,495,1,no info,6686,23,30,6,6,2019
Indigo,delhi,cochin,325,1,no info,5636,2,0,15,6,2019
Indigo,delhi,cochin,515,1,no info,6442,7,35,9,6,2019
Multiple Carriers,delhi,cochin,710,1,no info,9486,13,5,21,5,2019
Jet Airways,kolkata,banglore,1655,1,in-flight meal not included,10844,20,0,21,5,2019
Jet Airways,delhi,cochin,505,2,in-flight meal not included,15318,20,0,3,6,2019
Air India,delhi,cochin,1255,1,no info,5117,12,30,3,4,2019
Indigo,delhi,cochin,290,1,no info,6147,15,10,24,6,2019
Multiple Carriers,delhi,cochin,490,1,no info,7005,12,50,9,6,2019
Spicejet,kolkata,banglore,140,0,no info,3873,22,20,3,4,2019
Jet Airways,delhi,cochin,1465,2,in-flight meal not included,9270,18,25,21,3,2019
Goair,banglore,delhi,170,0,no info,3898,11,40,27,6,2019
Jet Airways,kolkata,banglore,740,1,no info,14781,8,25,12,5,2019
Jet Airways,kolkata,banglore,735,1,in-flight meal not included,8586,20,0,24,5,2019
Air India,kolkata,banglore,1415,2,no info,10697,8,20,9,5,2019
Jet Airways,delhi,cochin,995,2,no info,14300,20,0,27,6,2019
Indigo,banglore,new delhi,170,0,no info,8855,18,55,3,3,2019
Jet Airways,kolkata,banglore,1545,1,in-flight meal not included,10844,16,30,12,5,2019
Jet Airways,delhi,cochin,1570,1,no info,17024,2,15,6,3,2019
Jet Airways,kolkata,banglore,1730,1,in-flight meal not included,9314,9,35,1,5,2019
Indigo,banglore,new delhi,165,0,no info,4777,0,40,24,3,2019
Air India,kolkata,banglore,1515,1,no info,7662,12,0,9,6,2019
Indigo,delhi,cochin,560,1,no info,6442,6,50,9,5,2019
Spicejet,delhi,cochin,270,1,no info,5264,8,45,12,6,2019
Jet Airways,delhi,cochin,925,1,in-flight meal not included,12898,13,0,27,5,2019
Air India,mumbai,hyderabad,90,0,no info,6092,13,55,3,3,2019
Spicejet,banglore,delhi,160,0,no info,3311,5,55,21,5,2019
Jet Airways,delhi,cochin,550,1,in-flight meal not included,6540,19,15,27,3,2019
Indigo,banglore,delhi,165,0,no info,3419,1,30,27,5,2019
Jet Airways,delhi,cochin,1355,1,in-flight meal not included,5177,14,0,3,4,2019
Air India,delhi,cochin,185,0,no info,8246,18,5,18,4,2019
Jet Airways,kolkata,banglore,690,1,no info,14676,9,35,9,6,2019
Multiple Carriers,delhi,cochin,570,1,no info,13587,11,30,27,6,2019
Jet Airways,kolkata,banglore,730,1,in-flight meal not included,9663,21,10,6,5,2019
Jet Airways,kolkata,banglore,1055,1,no info,13044,16,30,12,6,2019
Indigo,delhi,cochin,305,1,no info,5073,20,25,3,4,2019
Vistara,kolkata,banglore,1550,1,no info,9345,17,0,21,5,2019
Jet Airways,kolkata,banglore,1200,1,in-flight meal not included,9663,14,5,6,5,2019
Multiple Carriers,delhi,cochin,780,1,no info,14277,8,0,21,5,2019
Jet Airways,delhi,cochin,1105,1,in-flight meal not included,10262,10,0,1,6,2019
Jet Airways,mumbai,hyderabad,90,0,no info,5678,19,35,27,3,2019
Multiple Carriers,delhi,cochin,570,1,no info,13727,16,0,15,5,2019
Jet Airways,kolkata,banglore,960,1,in-flight meal not included,9663,20,0,6,5,2019
Indigo,chennai,kolkata,140,0,no info,3858,14,45,12,5,2019
Spicejet,delhi,cochin,270,1,no info,4812,8,45,24,6,2019
Indigo,delhi,cochin,345,1,no info,5775,21,50,27,6,2019
Jet Airways,kolkata,banglore,1450,1,in-flight meal not included,10539,9,35,6,6,2019
Indigo,kolkata,banglore,155,0,no info,4804,15,30,3,6,2019
Air Asia,banglore,delhi,165,0,no info,3383,11,10,12,6,2019
Indigo,banglore,new delhi,295,1,no info,8738,12,10,3,3,2019
Air India,delhi,cochin,1535,1,no info,7165,5,15,27,3,2019
Indigo,delhi,cochin,380,1,no info,6412,16,10,24,6,2019
Jet Airways,banglore,delhi,185,0,no info,8016,18,55,27,6,2019
Jet Airways,banglore,new delhi,1120,1,in-flight meal not included,11087,20,35,12,3,2019
Spicejet,chennai,kolkata,135,0,no check-in baggage included,3543,9,45,27,6,2019
Jet Airways,kolkata,banglore,730,1,no info,12471,16,30,12,6,2019
Jet Airways,delhi,cochin,1165,1,in-flight meal not included,10262,9,0,24,6,2019
