airline,source,destination,duration,total_stops,additional_info,dep_time_hour,dep_time_min,dtoj_day,dtoj_month,dtoj_year,price
Multiple Carriers,delhi,cochin,615,1,no info,15,15,6,6,2019,6795
Jet Airways,kolkata,banglore,1220,1,in-flight meal not included,20,0,9,6,2019,10844
Air India,banglore,new delhi,655,2,no info,10,30,15,3,2019,6593
Jet Airways,banglore,new delhi,1365,1,no info,8,55,6,3,2019,14815
Multiple Carriers,delhi,cochin,720,1,in-flight meal not included,9,0,27,5,2019,7886
Air India,banglore,new delhi,165,0,no info,21,10,24,3,2019,4441
Indigo,delhi,cochin,625,1,no info,10,35,3,6,2019,6093
Jet Airways,banglore,new delhi,650,1,no info,21,25,12,3,2019,12547
Indigo,banglore,delhi,170,0,no info,13,0,1,4,2019,4591
Jet Airways,delhi,cochin,660,1,in-flight meal not included,8,0,9,6,2019,10262
Jet Airways,delhi,cochin,535,2,no info,19,30,27,5,2019,15129
Jet Airways,delhi,cochin,1125,2,in-flight meal not included,9,40,15,6,2019,10368
Multiple Carriers,delhi,cochin,535,1,no info,10,20,9,5,2019,8266
Jet Airways,kolkata,banglore,1220,1,in-flight meal not included,8,25,24,3,2019,10031
Multiple Carriers,delhi,cochin,620,1,no info,8,55,21,3,2019,10161
Jet Airways,kolkata,banglore,1285,1,in-flight meal not included,17,0,15,5,2019,9314
Jet Airways,kolkata,banglore,1075,1,no info,17,0,9,6,2019,14151
Indigo,banglore,delhi,170,0,no info,23,30,21,6,2019,4077
Jet Airways,delhi,cochin,810,2,in-flight meal not included,5,30,21,5,2019,13029
Jet Airways,banglore,delhi,175,0,no info,11,10,18,5,2019,7229
Air India,delhi,cochin,1360,1,no info,9,0,6,3,2019,14882
Indigo,banglore,delhi,170,0,no info,8,30,9,4,2019,4823
Jet Airways,delhi,cochin,1375,2,no info,5,30,1,5,2019,15129
Air Asia,kolkata,banglore,150,0,no info,19,55,6,4,2019,3807
Indigo,chennai,kolkata,140,0,no info,19,35,18,5,2019,3597
Indigo,mumbai,hyderabad,90,0,no info,1,40,3,6,2019,2754
Air India,delhi,cochin,1420,1,no info,9,45,12,6,2019,7480
Indigo,kolkata,banglore,155,0,no info,17,15,21,5,2019,4804
Air India,banglore,new delhi,905,2,no info,8,50,1,3,2019,17345
Air India,banglore,new delhi,1475,2,no info,8,50,1,3,2019,25430
Jet Airways,kolkata,banglore,330,1,no info,6,30,12,6,2019,13626
Indigo,delhi,cochin,315,1,no info,7,15,27,5,2019,5636
Jet Airways,delhi,cochin,1760,2,no info,23,5,27,6,2019,12819
Air India,kolkata,banglore,1200,2,no info,9,25,21,5,2019,14687
Indigo,banglore,delhi,165,0,no info,1,30,9,5,2019,3419
Indigo,banglore,delhi,170,0,no info,13,0,24,5,2019,4990
Multiple Carriers,delhi,cochin,455,1,no info,18,0,3,3,2019,17703
Air India,delhi,cochin,1245,2,no info,10,55,3,6,2019,11753
Jet Airways,kolkata,banglore,1630,1,no info,20,25,9,6,2019,12692
Jet Airways,delhi,cochin,500,2,no info,20,5,3,3,2019,46490
Indigo,chennai,kolkata,140,0,no info,13,15,12,6,2019,3597
Goair,banglore,delhi,165,0,no info,20,55,9,4,2019,4239
Jet Airways,kolkata,banglore,1080,1,in-flight meal not included,20,25,9,5,2019,9314
Indigo,mumbai,hyderabad,90,0,no info,21,20,24,5,2019,2437
Air India,banglore,new delhi,1510,1,no info,11,50,15,3,2019,8032
Jet Airways,kolkata,banglore,800,1,no info,20,0,12,6,2019,13044
Jet Airways,kolkata,banglore,1005,1,no info,17,0,12,5,2019,14151
Spicejet,delhi,cochin,375,1,no info,16,35,3,3,2019,11726
Jet Airways,kolkata,banglore,520,1,in-flight meal not included,20,0,9,5,2019,8586
Air India,delhi,cochin,1180,2,no info,12,0,21,3,2019,9706
Indigo,kolkata,banglore,155,0,no info,11,30,12,6,2019,4804
Goair,delhi,cochin,355,1,no info,7,25,9,4,2019,4106
Air India,chennai,kolkata,135,0,no info,11,40,3,5,2019,4667
Jet Airways,banglore,new delhi,305,1,no info,14,5,18,3,2019,14815
Goair,delhi,cochin,355,1,no info,7,0,27,6,2019,5281
Indigo,delhi,cochin,305,1,no info,23,30,15,5,2019,10123
Multiple Carriers,delhi,cochin,680,1,no info,7,30,6,3,2019,15135
Spicejet,kolkata,banglore,330,1,no info,15,55,15,5,2019,7804
Jet Airways,kolkata,banglore,800,1,in-flight meal not included,18,55,18,5,2019,7757
Jet Airways,kolkata,banglore,1080,1,no info,20,25,21,5,2019,11467
Multiple Carriers,delhi,cochin,395,1,no info,6,0,18,5,2019,9794
Air India,delhi,cochin,1275,2,no info,22,0,24,6,2019,9181
Jet Airways,kolkata,banglore,585,1,in-flight meal not included,18,55,1,4,2019,7064
Spicejet,banglore,new delhi,170,0,no info,5,45,9,3,2019,5126
Jet Airways,delhi,cochin,1570,1,no info,2,15,3,3,2019,17024
Jet Airways,delhi,cochin,440,2,no info,11,40,3,6,2019,18804
Vistara,delhi,cochin,190,0,no info,6,0,18,5,2019,6741
Jet Airways,kolkata,banglore,740,1,in-flight meal not included,8,25,9,6,2019,10844
Air Asia,kolkata,banglore,955,1,no info,7,35,9,5,2019,5192
Jet Airways,kolkata,banglore,730,1,in-flight meal not included,21,10,9,6,2019,11841
Jet Airways,kolkata,banglore,505,1,no info,9,35,18,5,2019,14151
Jet Airways,delhi,cochin,1100,1,in-flight meal not included,18,15,24,6,2019,10262
Jet Airways,delhi,cochin,1325,1,in-flight meal not included,20,55,3,6,2019,10262
Jet Airways,banglore,new delhi,1220,1,no info,22,50,1,3,2019,25735
Vistara,kolkata,banglore,1595,1,no info,20,20,24,3,2019,11682
Multiple Carriers,delhi,cochin,520,1,no info,10,20,6,5,2019,9794
Indigo,banglore,new delhi,295,1,no info,16,55,15,3,2019,5397
Indigo,chennai,kolkata,140,0,no info,14,45,18,5,2019,3858
Jet Airways,kolkata,banglore,850,1,in-flight meal not included,8,25,24,3,2019,10031
Jet Airways,delhi,cochin,330,1,in-flight meal not included,7,5,21,5,2019,12898
Jet Airways,kolkata,banglore,570,1,in-flight meal not included,14,5,9,5,2019,10844
Indigo,banglore,new delhi,170,0,no info,23,30,1,3,2019,10067
Jet Airways,delhi,cochin,1570,1,in-flight meal not included,2,15,1,6,2019,10262
Indigo,delhi,cochin,570,1,no info,6,40,9,3,2019,6442
Jet Airways,delhi,cochin,505,2,no info,20,0,27,5,2019,16263
Air India,banglore,new delhi,170,0,no info,13,20,24,3,2019,7276
Air Asia,banglore,new delhi,165,0,no info,11,10,24,3,2019,3383
Indigo,kolkata,banglore,155,0,no info,22,15,15,4,2019,4174
Air India,delhi,cochin,600,1,no info,21,40,9,3,2019,13832
Air India,delhi,cochin,675,1,no info,8,0,27,6,2019,8372
Air India,mumbai,hyderabad,75,0,no info,19,30,1,3,2019,15385
Jet Airways,delhi,cochin,1385,1,no info,19,45,21,3,2019,12347
Air India,delhi,cochin,230,0,no info,14,5,21,5,2019,6094
Jet Airways,kolkata,banglore,450,1,no info,21,10,15,5,2019,14388
Jet Airways,kolkata,banglore,425,1,no info,16,30,9,6,2019,14571
Jet Airways,mumbai,hyderabad,85,0,no info,7,10,21,3,2019,8040
Jet Airways,kolkata,banglore,800,1,in-flight meal not included,18,55,15,5,2019,9663
Air India,banglore,new delhi,330,1,no info,6,45,6,3,2019,13912
Jet Airways,delhi,cochin,660,1,in-flight meal not included,8,0,27,5,2019,12239
Jet Airways,kolkata,banglore,345,1,in-flight meal not included,14,5,12,6,2019,9899
Jet Airways,kolkata,banglore,1450,1,no info,9,35,21,5,2019,13067
Indigo,mumbai,hyderabad,90,0,no info,12,0,12,5,2019,2754
Air India,banglore,delhi,170,0,no info,13,20,27,4,2019,5228
Spicejet,chennai,kolkata,155,0,no info,9,30,15,3,2019,6300
Vistara,banglore,delhi,155,0,no info,17,0,15,5,2019,4878
Spicejet,mumbai,hyderabad,85,0,no info,8,50,9,3,2019,5755
Air India,delhi,cochin,1180,2,no info,12,0,21,5,2019,9653
Jet Airways,mumbai,hyderabad,90,0,in-flight meal not included,19,40,9,3,2019,4050
Indigo,mumbai,hyderabad,90,0,no info,6,25,1,5,2019,4392
Goair,banglore,delhi,175,0,no info,7,45,21,4,2019,4632
Jet Airways,delhi,cochin,450,1,in-flight meal not included,20,55,27,6,2019,12898
